IMMEDIATE THREATS NAME,IOC,MD5,Reference
"EvilNum Targets Cryptocurrency, Forex, Commodities",Evilnumbgfiieebca1_browsingLnk.lnk,c73033ea7be3bb159c207c39e954ce18,https://www.microsoft.com/security/blog/2022/07/27/untangling-knotweed-european-private-sector-offensive-actor-using-0-day-exploits/
"EvilNum Targets Cryptocurrency, Forex, Commodities",Evilnumbgfiieebca1_edrLnk.lnk,c73033ea7be3bb159c207c39e954ce18,
"EvilNum Targets Cryptocurrency, Forex, Commodities",http://bookingitnow.org,,
"EvilNum Targets Cryptocurrency, Forex, Commodities",http://moretraveladv.com,,
"EvilNum Targets Cryptocurrency, Forex, Commodities",http://bookaustriavisit.com,,
"EvilNum Targets Cryptocurrency, Forex, Commodities",http://estoniaforall.com,,
