IMMEDIATE THREATS NAME,IOC,MD5,Reference
Raspberry Robin Worm Abuses Windows Installer and QNAP Devices,Robinbgfhgdijee3_browsingBat.bat,b0b2ead1678dac29a5f3b0d2b9e666c5,https://www.cybereason.com/blog/threat-alert-raspberry-robin-worm-abuses-windows-installer-and-qnap-devices
Raspberry Robin Worm Abuses Windows Installer and QNAP Devices,Robinbgfhgdijee2_browsingLnk.lnk,4d9d0be6414d2cc2fd2b7fab46c0bf67,
Raspberry Robin Worm Abuses Windows Installer and QNAP Devices,Robinbgfhgdijee1_browsingZip.zip,22531e030b05dbaafe9932b8779c73f6,
Raspberry Robin Worm Abuses Windows Installer and QNAP Devices,Robinbgfhgdijee3_edrBat.bat,b0b2ead1678dac29a5f3b0d2b9e666c5,
Raspberry Robin Worm Abuses Windows Installer and QNAP Devices,Robinbgfhgdijee2_edrLnk.lnk,4d9d0be6414d2cc2fd2b7fab46c0bf67,
Raspberry Robin Worm Abuses Windows Installer and QNAP Devices,Robinbgfhgdijee1_edrZip.zip,22531e030b05dbaafe9932b8779c73f6,
Raspberry Robin Worm Abuses Windows Installer and QNAP Devices,http://6y.re,,
Raspberry Robin Worm Abuses Windows Installer and QNAP Devices,http://u0.pm/,,
